battery_power_mAh,clock_speed,dual_sim,front_cam_mp,5G,int_memory_gb,thickness_cm,weight_grams,n_cores,back_cam_mp,ram_mb,screen_height_cm,screen_width_cm,talk_time_hrs,condition,price
1860,0.5,yes,2,1,55,0.7,83,6,3,676,15,0,4,parts_only,35
685,0.5,no,2,0,29,0.8,93,7,10,728,14,8,4,fair,35
1093,1.9,yes,2,1,22,0.3,196,8,14,1869,8,5,4,good,162
1031,0.5,yes,2,1,31,0.1,82,8,19,2305,10,4,4,excellent,289
896,1,yes,3,1,4,0.3,111,1,4,1060,12,10,4,good,149
1275,0.5,yes,3,1,5,0.2,152,1,9,3784,13,4,4,like_new,409
1369,1.7,yes,3,0,28,0.6,108,1,18,3206,16,15,4,excellent,397
1202,2.5,yes,3,0,22,0.4,112,2,8,291,5,2,4,like_new,399
1811,2,no,3,1,22,0.2,82,2,8,2847,9,2,4,excellent,279
626,2.8,yes,3,1,11,0.8,109,2,9,1077,6,1,4,fair,57
712,0.5,yes,3,1,35,0.2,84,2,10,2190,16,12,4,fair,149
1062,2.9,yes,3,1,12,0.3,152,2,10,3664,9,6,4,like_new,498
529,2.3,no,3,1,58,1,197,2,18,873,11,5,4,fair,92
1906,1.9,yes,3,0,55,0.2,113,3,4,1871,13,5,4,good,149
645,2.9,yes,3,0,5,0.1,185,3,6,1315,11,1,4,parts_only,57
1920,0.6,yes,3,1,19,0.5,131,3,8,3943,13,0,4,like_new,409
614,2.9,yes,3,1,24,0.2,94,4,7,1930,13,12,4,good,149
1494,1.6,no,3,1,45,0.8,158,5,4,3208,11,9,4,excellent,397
802,0.5,yes,3,0,43,0.6,153,5,6,3063,17,13,4,excellent,289
1590,1.9,yes,3,1,21,1,160,5,18,1701,11,4,4,good,149
1197,1.3,no,3,1,20,0.5,149,6,7,1797,19,5,4,good,149
1762,0.6,no,3,1,26,0.1,83,6,14,2661,9,7,4,excellent,289
1461,2.4,yes,3,1,40,0.5,141,7,4,3799,16,1,4,like_new,399
1911,1.1,yes,3,1,16,0.7,154,7,4,3665,14,12,4,like_new,409
1439,2.6,yes,3,1,14,0.3,101,8,6,763,5,3,4,parts_only,55
1403,0.7,yes,4,0,32,0.1,117,1,5,2499,16,10,4,good,259
839,2.7,no,4,0,37,0.7,93,2,7,3505,5,1,4,like_new,399
1796,2.3,no,4,0,44,0.9,184,2,11,3577,17,7,4,like_new,453
1216,3,no,4,0,47,0.4,199,3,7,2268,13,5,4,excellent,299
1976,2.5,yes,4,0,33,0.7,196,3,15,2947,16,11,4,like_new,498
1569,1.6,yes,4,1,54,0.9,190,4,6,3905,6,2,4,like_new,397
695,1,no,4,0,51,0.8,93,5,5,2463,7,2,4,excellent,289
1551,1.1,no,4,0,51,0.1,88,5,6,3844,11,8,4,like_new,409
767,0.5,yes,4,0,30,0.8,100,5,8,3485,9,1,4,excellent,339
1413,0.5,yes,4,1,39,0.1,185,5,12,3878,19,16,4,excellent,339
648,1.9,yes,4,0,8,1,91,5,19,2991,8,7,4,excellent,279
1731,1.4,yes,4,1,4,0.5,163,6,18,3892,5,1,4,like_new,409
1861,0.9,no,4,1,55,0.5,148,7,8,601,7,5,4,fair,132
1996,1.9,no,4,0,55,0.3,81,7,8,1852,8,2,4,excellent,299
1470,2.2,yes,4,1,33,0.4,138,7,10,1633,18,4,4,excellent,279
1630,0.6,yes,4,0,20,0.9,153,7,10,3470,17,6,4,like_new,409
1397,2.7,yes,4,0,19,0.5,146,7,13,2928,12,2,4,excellent,282
634,0.8,no,5,0,41,0.2,192,1,12,3242,18,11,4,excellent,339
697,2.7,yes,5,1,20,0.4,173,2,6,259,12,6,4,fair,99
1045,1.5,yes,5,0,25,0.3,83,2,10,2267,18,4,4,like_new,409
1992,1.6,no,5,1,57,1,100,2,15,606,9,3,4,good,159
1253,0.5,yes,5,1,5,0.2,152,2,19,1878,15,0,4,good,149
1772,2.4,yes,5,0,8,0.1,135,3,13,2297,8,6,4,excellent,279
1102,1.2,no,5,1,40,1,175,3,14,2734,15,12,4,excellent,289
1397,2.4,yes,5,1,3,0.2,121,3,15,1378,18,15,4,good,162
1852,1.6,yes,5,1,25,0.1,85,3,15,3199,8,4,4,excellent,279
1564,1.7,no,5,0,35,0.9,173,4,6,2545,18,6,4,good,162
558,2.2,no,5,1,24,0.1,169,4,16,482,12,4,4,fair,92
1029,1.9,yes,5,1,5,0.2,171,5,8,582,15,7,4,fair,83
1951,2.1,no,5,0,22,0.5,132,6,6,945,16,5,4,fair,49
1219,1.6,yes,5,0,4,0.3,169,6,7,1998,9,2,4,excellent,279
1177,0.5,no,5,1,2,0.9,141,7,12,715,19,5,4,parts_only,35
1412,2.4,no,5,0,25,0.8,96,8,17,837,15,9,4,good,149
535,1.9,no,5,0,24,0.2,190,8,19,524,9,3,4,parts_only,49
1920,2.5,no,6,1,8,0.4,194,1,7,2099,10,5,4,good,179
712,1.6,no,6,1,9,0.8,172,2,14,3612,13,5,4,excellent,397
1725,1.6,yes,6,1,6,0.5,119,2,18,3429,6,5,4,like_new,409
770,1.5,yes,6,0,61,0.2,196,4,9,3473,7,3,4,excellent,397
1541,1.5,yes,6,1,5,0.5,109,4,10,1795,7,3,4,good,149
912,2.8,yes,6,1,46,0.4,84,4,11,851,8,4,4,fair,99
950,0.5,no,6,1,55,0.1,124,8,7,1305,6,5,4,parts_only,35
895,0.5,yes,6,0,16,0.3,164,8,14,3122,7,0,4,fair,245
1749,0.5,yes,7,1,49,0.8,178,1,8,2195,5,4,4,fair,212
1394,2.7,yes,7,0,8,0.8,150,3,9,730,15,7,4,fair,99
561,2.1,yes,7,1,2,0.1,193,3,13,665,10,0,4,fair,85
1842,2.2,yes,7,0,56,0.4,179,4,10,3721,16,11,4,like_new,453
803,2.1,no,7,0,17,1,198,4,11,2680,7,1,4,excellent,279
519,1.6,yes,7,1,51,0.3,132,4,19,3763,16,1,4,excellent,397
1262,1.4,yes,7,1,64,0.1,116,7,16,3060,5,1,4,like_new,409
983,1.6,no,7,1,55,0.4,168,8,8,1425,14,0,4,good,159
713,1.6,no,7,1,2,0.4,181,8,9,485,10,6,4,fair,83
1953,2.1,yes,7,0,56,0.1,158,8,9,2334,11,5,4,excellent,279
1433,1.6,no,7,0,4,0.7,133,8,11,258,11,9,4,fair,75
618,0.6,no,8,0,16,0.2,143,1,14,2262,16,15,4,excellent,289
605,1,no,8,1,9,0.1,142,3,16,392,15,6,4,parts_only,35
1314,2.9,yes,8,1,41,0.1,155,4,12,626,10,4,4,fair,99
1757,0.5,no,8,0,49,0.5,180,6,14,2056,7,5,4,fair,132
524,0.9,yes,8,1,10,0.1,85,7,14,625,6,0,4,fair,75
1427,0.6,no,8,1,40,0.8,121,8,12,2338,10,8,4,good,245
909,0.5,yes,9,0,30,0.4,97,3,10,594,12,0,4,fair,65
1715,2.6,yes,9,1,15,0.6,120,6,20,1249,16,2,4,good,179
721,1.3,yes,10,0,16,0.9,125,1,18,1713,10,3,4,good,149
1286,2.3,no,10,1,16,0.1,98,2,18,424,10,5,4,fair,92
1206,3,yes,10,1,30,0.6,127,3,13,1825,7,1,4,excellent,289
1435,0.5,yes,10,1,62,0.1,150,4,14,369,8,1,4,parts_only,32
1327,2.8,no,10,0,23,0.5,89,7,16,872,7,5,4,fair,99
1193,0.9,no,11,0,26,0.5,166,1,20,536,17,14,4,parts_only,35
696,2.4,no,11,1,35,0.2,103,3,13,2022,14,11,4,good,149
1358,0.5,no,11,1,36,0.3,155,4,14,3068,9,4,4,like_new,399
1330,1.1,no,11,0,37,0.7,126,7,20,2166,10,1,4,good,263
900,1.9,no,11,0,47,0.2,150,8,14,1440,14,2,4,fair,83
1702,2.3,no,12,1,52,0.5,145,2,15,2501,16,12,4,like_new,399
1590,1.5,yes,12,1,14,0.5,187,4,15,2836,6,5,4,excellent,339
732,1.3,yes,12,1,48,0.5,141,4,16,832,18,10,4,fair,35
1262,1.8,yes,12,0,34,0.1,149,5,16,3248,13,3,4,excellent,299
1154,0.5,no,12,1,14,0.7,156,7,14,587,8,3,4,fair,65
536,2.4,yes,12,1,3,0.3,182,7,14,284,12,9,4,fair,99
622,1.9,yes,12,0,11,0.8,193,8,14,3183,5,0,4,excellent,299
680,2.4,no,13,1,34,0.4,157,2,17,3845,15,1,4,like_new,498
706,0.5,no,13,1,31,0.1,108,3,19,2419,8,7,4,good,132
673,1.9,no,13,1,35,0.4,142,6,14,3541,18,17,4,like_new,399
1263,2.3,no,13,0,4,0.9,178,7,18,668,14,3,4,fair,92
567,1.4,yes,14,0,60,0.1,111,2,15,1150,17,16,4,parts_only,35
1466,2.4,yes,14,1,57,0.9,155,6,18,2340,18,15,4,good,162
1108,1.3,yes,14,1,2,0.3,169,7,20,1229,5,3,4,fair,75
511,0.9,yes,15,1,24,0.6,136,3,18,2378,18,3,4,fair,132
1349,2,yes,15,0,62,0.3,114,5,16,2756,11,3,4,excellent,279
1788,0.5,yes,15,1,2,0.3,150,6,20,2655,12,2,4,good,223
761,1.3,no,15,1,37,0.9,174,8,16,2270,9,1,4,fair,149
1989,1.8,yes,16,1,10,0.9,86,3,18,2158,14,8,4,fair,149
1157,2.8,yes,16,0,19,0.5,87,8,18,1403,6,1,4,good,179
946,2.6,yes,17,0,5,0.1,166,3,20,3720,15,7,4,like_new,498
591,2.1,yes,18,1,16,0.5,196,7,20,704,14,5,4,fair,85
1857,1.9,yes,0,0,62,0.6,147,1,0,336,19,0,5,like_new,399
1745,2.8,yes,0,0,45,0.7,186,1,0,1019,6,4,5,good,179
716,1.3,yes,0,1,56,0.7,167,1,2,3947,6,3,5,like_new,409
643,1.8,yes,0,0,28,0.4,199,1,20,2885,8,6,5,excellent,279
622,0.7,no,0,1,9,0.3,127,2,0,3916,13,1,5,good,263
597,3,yes,0,0,16,0.5,140,2,0,3788,12,0,5,like_new,399
618,2.2,yes,0,1,63,0.9,138,2,1,2574,14,3,5,excellent,299
1129,2.8,yes,0,0,49,0.5,185,2,2,1857,8,4,5,good,179
1371,2.1,yes,0,0,3,0.3,173,2,12,2202,15,14,5,good,162
728,1.7,yes,0,1,5,0.6,101,2,20,834,16,0,5,fair,83
831,2.2,no,0,1,31,0.3,197,3,1,1629,8,1,5,good,162
914,2.3,yes,0,1,47,0.5,119,3,3,3402,14,10,5,like_new,399
1954,0.5,yes,0,0,24,0.8,187,4,0,700,16,3,5,fair,65
999,1.8,yes,0,1,27,0.1,167,4,1,1344,17,10,5,fair,49
1663,0.6,yes,0,0,17,0.7,152,4,2,2820,14,1,5,excellent,289
621,2.7,yes,0,0,54,0.1,151,4,20,2801,6,1,5,excellent,299
1467,0.5,no,0,0,18,0.6,122,5,0,3962,15,11,5,like_new,409
1063,1.1,no,0,1,26,0.8,101,5,2,3809,17,16,5,excellent,339
1479,1.8,yes,0,1,24,0.1,146,6,0,3762,12,10,5,like_new,399
1190,2.1,no,0,1,18,0.6,160,6,2,3571,6,5,5,excellent,279
1362,2.9,no,0,0,47,0.5,186,6,4,3629,19,17,5,like_new,498
1187,2.3,no,0,1,21,0.2,122,6,6,2547,10,3,5,excellent,299
1299,2.8,yes,0,0,64,0.5,83,6,6,1938,19,8,5,good,149
510,2.6,no,0,0,33,0.1,110,6,10,1693,6,2,5,good,179
1063,2.5,no,0,1,31,0.9,95,6,10,961,16,6,5,good,99
885,2.3,yes,0,1,15,0.4,103,7,0,1410,16,10,5,fair,99
1540,0.7,yes,0,1,29,0.1,157,7,1,1161,11,8,5,fair,35
1768,2,no,0,1,2,0.8,88,7,2,3256,9,6,5,like_new,409
541,2.1,no,0,1,28,0.4,156,7,4,2704,14,0,5,excellent,299
786,2.2,yes,0,0,33,0.5,141,7,6,2390,12,11,5,excellent,279
1836,2.1,yes,0,1,30,0.2,184,7,15,3072,7,3,5,like_new,409
1563,2.4,no,0,1,24,0.2,170,8,0,3660,7,5,5,like_new,453
964,2,no,0,1,22,0.7,86,8,0,2577,17,16,5,excellent,299
1207,0.5,no,0,0,58,0.3,112,8,0,503,7,3,5,fair,57
1715,1.3,no,0,1,12,0.3,94,8,6,1633,15,10,5,excellent,289
1719,2,no,0,0,12,0.3,122,8,7,462,6,3,5,parts_only,49
561,1,no,0,0,11,0.1,163,8,10,3421,16,2,5,excellent,289
1670,1.6,yes,0,0,47,0.8,139,8,15,876,16,0,5,good,159
897,1.4,yes,1,0,17,0.4,171,1,2,2948,12,3,5,excellent,279
1344,1.5,no,1,0,14,0.5,190,1,3,2074,8,1,5,good,159
1717,1.3,no,1,0,62,0.7,130,1,3,3226,6,4,5,like_new,409
881,2.8,no,1,0,36,0.5,167,1,6,2354,19,10,5,fair,179
1729,2.1,yes,1,0,12,0.9,186,1,6,1519,9,4,5,good,149
1613,1.3,no,1,1,24,0.4,195,2,5,3733,15,5,5,excellent,339
1175,1.7,yes,1,1,45,0.6,167,2,7,2240,10,6,5,good,162
1218,1.8,yes,1,1,14,0.5,147,3,4,398,17,0,5,fair,49
1520,0.5,no,1,0,25,0.5,171,3,20,651,6,0,5,parts_only,35
793,2.8,yes,1,1,64,0.4,179,4,2,2296,12,0,5,good,179
995,1.3,yes,1,0,10,0.1,104,4,3,609,11,3,5,parts_only,35
1454,0.5,yes,1,0,34,0.7,83,4,3,3419,7,5,5,like_new,399
1329,2.8,yes,1,0,10,1,105,4,10,337,5,4,5,like_new,498
1702,0.5,no,1,1,54,0.4,131,5,2,359,13,12,5,fair,57
914,0.7,no,1,1,60,0.9,198,5,4,3736,14,8,5,excellent,339
1035,2.7,no,1,0,40,0.2,157,5,15,3548,14,4,5,like_new,498
721,2.7,yes,1,1,15,0.2,102,5,18,3606,10,0,5,like_new,498
1130,1.3,yes,1,1,59,0.8,98,6,4,3785,17,4,5,excellent,339
591,0.5,yes,1,1,16,0.9,90,6,17,3746,5,0,5,like_new,409
1712,0.8,no,1,0,29,0.3,149,7,6,2693,7,1,5,excellent,289
507,0.5,yes,1,0,32,0.5,141,7,11,1702,17,0,5,good,149
1911,0.9,yes,1,1,36,0.7,108,8,3,3057,9,1,5,like_new,409
796,2.3,yes,1,1,36,0.3,127,8,14,3932,5,1,5,like_new,453
927,1.2,yes,2,1,22,0.1,162,2,3,3741,7,4,5,excellent,339
1948,0.7,no,2,0,31,0.4,122,2,7,2070,5,3,5,good,259
914,0.9,no,2,0,4,0.8,100,2,12,808,11,7,5,fair,75
1719,1.9,yes,2,0,40,0.1,118,3,12,2534,10,6,5,excellent,299
1851,2.4,yes,2,0,59,0.1,151,3,18,2892,10,0,5,good,162
1317,1.8,yes,2,0,43,0.5,113,5,3,3436,16,13,5,like_new,409
781,1.1,no,2,0,38,0.4,198,5,7,3508,13,8,5,excellent,339
576,2.8,no,2,1,10,0.2,184,5,7,2938,6,0,5,excellent,299
1083,1.4,yes,2,1,49,0.8,156,5,9,1338,16,8,5,fair,75
1307,1.8,no,2,0,7,0.6,88,7,3,1412,16,9,5,good,149
1654,2,no,2,0,58,0.7,119,7,3,2801,8,0,5,excellent,279
578,2.6,yes,2,1,57,0.2,162,8,8,1270,15,3,5,fair,55
945,2.4,no,3,0,47,0.4,141,2,11,2904,19,14,5,excellent,279
1511,2.5,yes,3,0,21,0.2,114,3,18,3746,10,0,5,like_new,399
701,0.8,no,3,0,53,0.2,87,4,7,1972,9,8,5,good,263
600,2.5,yes,3,0,9,0.2,145,4,10,2800,17,6,5,like_new,498
1310,2.3,yes,3,0,15,0.2,150,5,11,2518,18,17,5,excellent,299
1333,1.4,no,3,1,59,0.7,183,7,5,3442,18,16,5,like_new,409
1824,0.8,no,4,1,19,0.9,143,2,5,2381,14,1,5,good,263
1172,2.1,yes,4,0,41,0.1,95,3,7,1107,7,3,5,fair,149
1745,1.5,yes,4,1,57,0.1,159,3,16,2885,13,11,5,like_new,409
1901,2.7,no,4,0,62,0.7,133,3,17,1786,16,10,5,excellent,299
1721,0.5,yes,4,1,33,0.5,128,4,5,707,19,2,5,fair,65
543,0.5,yes,4,1,60,0.7,132,5,7,933,14,0,5,fair,65
1686,0.5,yes,4,0,28,0.8,182,5,8,780,11,10,5,fair,35
1426,1.6,no,4,1,12,0.7,174,5,16,1277,14,9,5,fair,149
652,2.9,yes,4,1,14,0.2,196,6,18,1706,12,4,5,fair,57
868,2.8,no,4,1,36,0.2,175,7,13,1655,12,10,5,good,149
936,2.3,no,5,1,57,0.2,129,2,6,2049,12,8,5,good,162
1328,0.5,no,5,1,27,0.3,144,3,18,2674,7,2,5,good,223
1973,1.6,yes,5,1,39,0.8,152,4,6,1993,9,0,5,excellent,279
1042,2.9,no,5,1,48,0.2,186,4,15,2187,9,2,5,excellent,282
683,0.7,no,5,0,19,0.9,173,4,17,2622,16,3,5,good,259
920,2.1,yes,5,0,25,0.4,115,7,14,785,10,7,5,fair,85
732,1.3,no,5,1,32,0.4,163,8,7,3883,12,2,5,excellent,339
1005,1.6,yes,6,0,32,0.6,199,7,13,2119,14,9,5,good,159
1142,1.4,yes,6,0,6,0.7,190,8,8,663,12,4,5,fair,75
586,2.9,yes,6,1,33,0.2,195,8,17,2817,5,2,5,like_new,498
514,1.6,no,7,1,37,0.1,172,1,9,3392,12,8,5,like_new,409
1053,0.8,yes,7,1,45,0.3,103,1,12,3086,17,6,5,like_new,409
1803,2.6,no,7,1,9,0.9,112,2,12,406,9,3,5,fair,55
615,0.5,yes,7,0,58,0.5,130,5,8,1906,14,5,5,fair,132
1557,1.6,no,7,0,26,0.3,154,5,14,885,17,2,5,good,159
929,0.5,yes,7,1,13,1,146,7,8,1704,15,2,5,fair,114
754,0.5,yes,7,1,59,0.7,178,7,10,1027,6,3,5,fair,109
1570,0.6,no,7,0,12,0.2,141,8,13,1895,18,11,5,fair,132
617,0.6,no,7,0,47,0.5,153,8,18,341,11,3,5,like_new,409
600,2.5,yes,8,1,22,0.1,145,1,11,3441,19,1,5,excellent,279
1171,2.8,no,8,1,47,0.4,192,1,11,3092,8,2,5,excellent,282
1658,2,yes,8,1,61,0.1,180,3,20,2857,7,1,5,excellent,279
1829,2.1,no,8,0,59,0.1,91,5,15,3142,16,6,5,like_new,409
1035,1.9,yes,8,0,11,1,173,6,10,2002,17,8,5,good,162
1725,0.5,yes,8,1,52,1,185,6,12,1243,19,18,5,good,149
1360,0.7,no,8,1,25,0.4,108,7,20,3934,16,4,5,excellent,339
1603,0.5,yes,8,1,37,1,95,8,9,1748,15,10,5,fair,149
925,2.1,no,9,0,56,0.2,196,1,14,2466,8,0,5,excellent,279
966,0.6,no,9,1,50,0.2,117,4,10,2574,10,1,5,good,245
1119,2.5,no,9,0,23,0.8,81,4,19,3121,15,4,5,excellent,299
578,0.5,no,9,1,62,0.3,170,5,13,2977,15,12,5,excellent,289
815,1.8,no,9,0,18,0.9,83,7,12,2131,17,7,5,excellent,299
916,2,yes,9,0,33,0.7,142,7,20,1798,11,5,5,good,162
664,2.9,no,10,1,40,0.1,173,5,15,3366,8,4,5,like_new,498
1640,0.7,no,10,1,21,0.8,169,7,14,337,16,3,5,fair,69
1368,3,yes,10,0,50,0.2,97,7,18,2496,13,6,5,excellent,299
1351,0.7,no,10,0,48,0.5,134,8,16,3781,15,0,5,excellent,339
1510,2.5,yes,11,0,47,0.7,138,2,13,887,18,6,5,fair,55
1469,1.7,yes,11,1,44,0.5,169,2,14,1687,15,5,5,good,162
1514,0.7,no,11,0,11,0.2,187,5,17,2315,13,0,5,good,259
1039,2.7,no,11,0,56,0.3,125,8,13,3105,14,8,5,excellent,299
928,0.5,yes,11,0,56,0.7,80,8,13,666,19,10,5,fair,65
709,1.9,no,11,1,13,0.1,81,8,15,467,17,11,5,fair,83
989,1.6,yes,11,1,24,0.6,156,8,17,2819,16,13,5,excellent,279
913,1.7,yes,12,0,58,0.2,200,5,14,1061,17,12,5,fair,49
1544,0.5,yes,12,1,20,0.9,144,5,14,1826,11,10,5,good,209
681,0.5,yes,12,1,17,0.9,194,5,19,2548,6,1,5,good,223
1310,1.1,yes,13,0,7,1,194,5,14,3182,8,4,5,excellent,289
1269,1.3,no,14,0,52,0.8,118,2,15,665,18,5,5,fair,139
826,2.4,yes,14,1,57,0.6,117,2,17,1907,15,14,5,fair,149
1872,0.5,yes,14,0,49,0.2,139,7,18,3153,16,15,5,like_new,399
1720,2,no,15,1,55,0.5,168,2,18,2148,14,2,5,excellent,299
694,1.8,yes,15,0,36,0.4,193,4,20,3676,12,8,5,like_new,399
646,2.3,yes,15,1,10,0.9,180,8,17,3005,14,0,5,good,149
1404,2.1,no,16,0,44,0.9,151,1,20,1196,10,6,5,good,149
1172,1.9,no,0,1,27,0.7,164,1,3,1477,12,0,6,fair,149
1132,1,no,0,0,8,0.1,157,1,4,1950,11,2,6,good,149
1281,2.3,yes,0,0,28,0.3,148,1,6,1129,12,1,6,good,162
1278,2.8,yes,0,0,56,0.6,179,1,7,3032,9,5,6,excellent,282
893,2.5,yes,0,0,55,0.6,183,2,1,2986,7,1,6,excellent,299
1724,1.8,no,0,1,9,0.8,100,2,1,3056,18,16,6,like_new,399
1476,0.5,no,0,1,43,0.7,148,2,2,3644,15,10,6,excellent,339
1576,0.9,yes,0,1,14,0.4,173,2,4,3220,17,2,6,like_new,409
1496,1.3,yes,0,0,42,0.9,124,2,5,3537,15,14,6,excellent,339
1533,0.5,yes,0,0,50,0.4,171,2,12,2509,15,11,6,excellent,289
1690,1.3,yes,0,0,28,0.9,85,3,1,3571,18,2,6,excellent,279
742,0.5,no,0,1,36,0.7,139,3,1,292,8,0,6,fair,57
1077,2.5,yes,0,1,45,1,174,3,4,1965,6,2,6,good,179
1674,2.8,yes,0,1,52,0.2,89,3,7,2030,7,0,6,excellent,282
1087,1.3,no,0,1,16,0.3,166,3,9,690,14,6,6,parts_only,35
1142,1.1,no,0,1,6,0.5,198,4,0,1273,19,0,6,fair,132
679,0.9,yes,0,0,41,0.3,154,4,1,2838,19,7,6,good,263
1283,0.7,yes,0,1,27,0.2,80,4,6,3957,17,15,6,excellent,339
983,0.6,yes,0,1,45,0.1,130,4,11,2052,5,3,6,fair,132
1219,1,yes,0,0,17,0.7,196,5,4,705,11,3,6,fair,75
1935,0.5,no,0,1,29,0.6,124,5,9,455,9,2,6,parts_only,32
1694,1.8,no,0,0,53,1,186,6,0,1653,7,5,6,excellent,279
590,1.2,yes,0,0,32,0.4,141,6,1,1817,10,0,6,fair,75
1929,0.5,yes,0,1,19,1,163,6,2,1913,12,7,6,fair,149
1277,0.5,yes,0,1,35,0.4,142,6,6,3559,18,17,6,like_new,399
574,0.5,yes,0,0,41,0.8,85,6,13,1865,6,5,6,good,209
1419,0.5,no,0,0,39,0.2,189,7,1,3435,9,2,6,excellent,309
797,2.2,yes,0,0,37,0.9,144,7,2,2216,9,5,6,fair,149
987,2.9,no,0,1,63,0.3,154,7,6,2646,12,1,6,like_new,498
1589,0.6,yes,0,1,58,0.9,85,7,7,3464,19,10,6,like_new,409
993,2.3,yes,0,0,16,0.4,106,7,13,1113,14,1,6,fair,49
976,2,no,0,1,5,0.9,184,7,14,3261,8,2,6,like_new,409
1900,1.4,no,0,0,41,0.4,112,8,1,3611,14,1,6,excellent,339
1987,1.9,no,0,0,50,0.7,119,8,18,857,12,4,6,good,162
1322,2.3,yes,1,1,35,0.1,157,1,3,3684,15,8,6,like_new,399
1234,1.6,yes,1,0,33,0.6,172,1,3,1449,11,7,6,fair,47
1918,2.8,no,1,0,22,0.3,139,1,5,1369,9,6,6,good,179
676,2.2,no,1,1,39,0.2,84,1,5,2064,13,7,6,good,149
1595,1.9,yes,1,0,63,0.9,88,1,20,908,18,13,6,good,149
721,2.6,yes,1,0,39,0.6,168,2,2,3372,5,1,6,excellent,282
1670,0.5,no,1,1,33,0.9,127,2,3,1830,5,0,6,good,149
921,0.6,yes,1,0,60,0.1,83,2,3,1080,10,0,6,parts_only,35
1634,1.4,no,1,1,17,0.2,200,2,5,3031,11,6,6,like_new,409
565,0.6,yes,1,0,50,0.1,158,2,8,2156,13,6,6,good,149
1093,0.5,no,1,1,31,0.6,171,2,12,1646,12,0,6,good,149
947,0.5,no,1,1,51,0.1,144,2,15,2915,17,1,6,excellent,289
881,1,no,1,0,64,0.5,160,3,6,2110,18,9,6,good,149
1843,2.8,no,1,1,62,0.8,104,3,7,3899,5,4,6,like_new,399
894,0.5,yes,1,1,50,0.5,199,3,14,3615,13,0,6,excellent,339
1888,2.7,no,1,1,53,0.1,146,4,3,1604,10,6,6,good,179
1464,0.5,yes,1,1,6,0.4,97,5,2,3725,9,1,6,excellent,339
1726,1.9,no,1,1,42,0.6,106,5,3,1868,16,7,6,excellent,279
717,1.8,no,1,1,25,0.4,173,5,8,3631,6,5,6,like_new,399
1562,1.3,yes,1,1,7,0.2,190,5,15,2243,12,10,6,good,263
1329,1,no,1,0,52,0.9,181,6,2,1228,8,6,6,good,132
1064,2.9,yes,1,1,34,0.2,184,6,13,654,16,13,6,fair,57
530,2.4,no,1,0,32,0.3,88,6,20,959,17,7,6,fair,99
880,2,yes,1,1,50,0.5,194,7,3,827,15,9,6,fair,49
664,1.1,yes,1,1,51,0.1,110,7,4,3629,19,15,6,like_new,409
1960,2.1,no,1,0,7,0.2,165,7,9,3773,11,9,6,like_new,409
764,1.2,yes,1,0,13,1,152,8,2,3148,18,7,6,excellent,289
1083,2.9,yes,1,1,39,1,173,8,2,3248,8,6,6,excellent,282
589,0.5,no,1,1,59,0.7,146,8,4,362,16,10,6,fair,57
1907,1.1,yes,1,0,22,0.1,80,8,4,3586,11,2,6,excellent,339
799,2.3,no,1,1,63,0.8,144,8,6,431,15,6,6,fair,92
1562,0.5,yes,1,1,20,0.8,172,8,10,3465,16,11,6,like_new,399
880,0.5,yes,1,0,44,0.5,172,8,15,3132,8,7,6,excellent,289
1766,1.3,no,1,0,29,0.5,194,8,20,2316,19,2,6,good,263
771,2.9,no,2,0,62,0.7,106,1,8,1628,9,3,6,good,189
1895,0.5,no,2,1,5,0.7,134,1,11,774,15,4,6,fair,149
1806,2,yes,2,1,54,0.1,117,1,11,3142,13,0,6,like_new,399
1248,2.1,yes,2,1,12,0.1,170,2,3,1266,11,0,6,fair,92
739,2.3,yes,2,1,58,0.1,88,3,4,475,7,6,6,fair,49
1806,1.1,no,2,1,64,0.3,133,5,7,1809,7,6,6,good,149
1417,2.7,no,2,1,56,0.9,114,6,4,590,11,3,6,fair,55
875,0.7,no,2,0,23,0.1,110,7,7,756,14,5,6,fair,35
1066,0.6,no,2,1,7,0.9,114,7,18,468,19,13,6,fair,69
1271,0.5,yes,2,0,54,0.1,159,8,3,990,14,11,6,fair,65
1994,0.8,yes,2,1,7,0.6,88,8,4,454,11,8,6,fair,75
1742,1.6,no,3,0,49,0.8,100,1,9,1947,5,4,6,excellent,279
1008,2.5,no,3,0,36,1,109,1,14,1083,6,4,6,fair,149
907,1.4,yes,3,0,42,0.2,151,1,16,584,11,9,6,fair,35
990,2.7,yes,3,0,15,0.9,153,2,7,2698,11,8,6,excellent,282
1626,2.7,no,3,0,20,0.1,164,2,17,454,8,4,6,fair,99
912,0.7,no,3,0,47,0.9,182,3,6,1321,7,2,6,fair,75
1057,2.7,yes,3,0,36,0.7,105,3,11,2521,19,15,6,excellent,299
853,0.6,yes,3,1,40,0.7,166,4,9,2510,8,3,6,fair,149
930,0.5,yes,3,1,34,0.5,190,4,16,2131,7,2,6,good,212
844,0.7,no,3,1,22,0.9,172,7,4,2179,10,6,6,excellent,289
1701,1.6,yes,3,0,10,0.3,194,8,7,2598,12,9,6,excellent,289
1692,2.3,yes,4,1,46,0.9,139,1,6,1394,16,10,6,good,162
1313,1.8,yes,4,0,9,0.4,105,1,6,3791,11,10,6,like_new,409
560,2.4,no,4,1,5,0.3,106,1,8,2050,18,13,6,fair,149
1611,0.5,yes,4,1,27,0.9,199,1,10,3078,15,2,6,good,245
