Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,VehicleCategory,PolicyNumber,RepNumber,Deductible,DriverRating,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AddressChange_Claim,NumberOfCars,BasePolicy,VehiclePrice,PastNumberOfClaims,FraudFound_P
Aug,2,Thursday,Pontiac,Urban,Friday,Aug,2,Male,Married,31,Third Party,Sedan,1335,15,400,1,6 years,31 to 35,No,No,no change,1,Collision,27073,2,0
Aug,5,Tuesday,Chevrolet,Urban,Wednesday,Sep,1,Male,Married,49,Third Party,Sedan,1336,2,400,2,7 years,41 to 50,No,No,no change,1,All Perils,69264,2,0
Aug,3,Friday,Pontiac,Rural,Friday,Aug,3,Female,Married,34,Policy Holder,Sedan,1337,13,400,2,6 years,31 to 35,No,No,no change,1,Collision,27364,1,0
Oct,1,Monday,Pontiac,Urban,Monday,Oct,1,Male,Married,42,Policy Holder,Sport,1338,8,400,1,more than 7,36 to 40,No,No,no change,1,Liability,29721,0,0
Feb,3,Thursday,Honda,Urban,Friday,Feb,3,Male,Single,29,Policy Holder,Sedan,1339,16,400,3,6 years,31 to 35,No,No,no change,1,Collision,25217,1,1
Nov,5,Tuesday,Toyota,Urban,Tuesday,Nov,5,Male,Married,35,Policy Holder,Sport,1340,14,400,1,6 years,31 to 35,No,No,no change,1,Liability,39622,4,0
Nov,4,Sunday,Pontiac,Urban,Tuesday,Dec,1,Male,Married,47,Policy Holder,Sport,1341,12,400,3,more than 7,41 to 50,No,No,no change,1,Liability,27380,3,0
Sep,3,Saturday,Toyota,Urban,Tuesday,Oct,1,Male,Married,40,Policy Holder,Sedan,1342,1,400,2,7 years,36 to 40,No,No,no change,1,Collision,23515,2,0
Aug,3,Saturday,Pontiac,Urban,Monday,Aug,4,Male,Married,37,Policy Holder,Sport,1343,1,400,1,7 years,36 to 40,No,No,no change,1,Liability,28734,2,0
May,5,Tuesday,Pontiac,Urban,Thursday,Jun,1,Male,Single,29,Third Party,Sedan,1344,9,400,1,7 years,31 to 35,No,No,no change,1,All Perils,23947,3,0
Apr,4,Thursday,Honda,Urban,Thursday,May,1,Male,Married,36,Third Party,Sedan,1345,1,400,2,7 years,36 to 40,No,No,4 to 8 years,2,All Perils,27643,0,0
Apr,4,Tuesday,Honda,Urban,Tuesday,May,1,Male,Married,49,Third Party,Sport,1346,4,400,2,7 years,41 to 50,No,No,no change,1,Collision,91644,1,0
Apr,4,Wednesday,Chevrolet,Urban,Thursday,Apr,4,Male,Married,56,Policy Holder,Sedan,1347,2,400,3,more than 7,51 to 65,No,No,no change,1,Collision,84345,5,0
Apr,2,Wednesday,Pontiac,Urban,Friday,Apr,4,Male,Married,43,Policy Holder,Sedan,1348,11,400,1,7 years,36 to 40,No,No,no change,1,Collision,30229,2,0
Dec,4,Monday,Mazda,Urban,Tuesday,Dec,4,Female,Single,26,Policy Holder,Sedan,1349,15,400,3,5 years,31 to 35,No,No,no change,1,Collision,23914,0,0
Dec,4,Thursday,Mercury,Urban,Thursday,Dec,4,Male,Married,53,Policy Holder,Sedan,1350,15,400,1,more than 7,41 to 50,No,No,no change,1,Collision,24816,7,0
Dec,4,Wednesday,Chevrolet,Urban,Thursday,Dec,4,Male,Married,50,Policy Holder,Sedan,1351,15,400,2,more than 7,41 to 50,No,No,no change,1,Collision,23253,2,0
Dec,2,Saturday,Chevrolet,Urban,Wednesday,Dec,3,Female,Married,32,Third Party,Sport,1352,15,400,4,3 years,31 to 35,No,No,no change,1,Liability,34007,2,0
Nov,5,Tuesday,Pontiac,Urban,Thursday,Dec,5,Male,Single,33,Third Party,Sedan,1353,9,400,3,6 years,31 to 35,No,No,no change,1,Collision,28366,2,0
Nov,2,Saturday,Honda,Urban,Monday,Nov,3,Male,Married,43,Policy Holder,Sedan,1354,2,400,2,7 years,36 to 40,No,No,no change,4,All Perils,14063,0,0
Oct,1,Wednesday,Toyota,Urban,Tuesday,Oct,2,Female,Single,37,Policy Holder,Sedan,1355,14,400,1,7 years,36 to 40,No,No,no change,1,Collision,23226,0,0
Sep,4,Monday,Toyota,Urban,Tuesday,Sep,4,Male,Single,33,Third Party,Sedan,1356,16,400,3,6 years,31 to 35,No,No,no change,1,Collision,20808,3,0
Sep,3,Sunday,Toyota,Urban,Tuesday,Sep,3,Female,Married,49,Policy Holder,Sedan,1357,13,400,3,6 years,41 to 50,No,No,no change,1,All Perils,12691,0,0
Sep,3,Monday,Chevrolet,Urban,Thursday,Sep,4,Male,Single,43,Policy Holder,Utility,1358,13,400,3,6 years,36 to 40,No,No,no change,1,All Perils,78688,3,0
Sep,3,Thursday,Toyota,Urban,Monday,Oct,1,Male,Single,28,Third Party,Sedan,1359,5,400,3,6 years,31 to 35,No,No,no change,1,Collision,23090,1,0
Sep,2,Tuesday,Honda,Urban,Tuesday,Sep,2,Female,Single,30,Policy Holder,Sport,1360,6,400,3,6 years,31 to 35,No,No,no change,1,Liability,29817,1,0
Sep,1,Monday,Chevrolet,Urban,Monday,Sep,1,Female,Single,28,Policy Holder,Sport,1361,5,400,3,5 years,31 to 35,No,No,no change,1,Liability,25029,10,0
Aug,1,Friday,Mazda,Urban,Tuesday,Aug,3,Male,Married,49,Policy Holder,Sedan,1362,15,400,4,7 years,41 to 50,No,No,no change,1,All Perils,29366,3,0
Aug,1,Thursday,Mazda,Rural,Friday,Aug,1,Male,Married,51,Policy Holder,Sedan,1363,10,400,2,more than 7,41 to 50,No,No,no change,1,Collision,20594,3,0
Jul,4,Saturday,Honda,Urban,Thursday,Aug,2,Male,Married,39,Policy Holder,Sedan,1364,10,400,1,more than 7,36 to 40,No,No,no change,1,Collision,20467,4,0
Jun,4,Wednesday,Honda,Urban,Thursday,Jun,5,Male,Single,0,Third Party,Sedan,1365,9,400,2,new,16 to 17,No,No,no change,1,All Perils,78674,1,0
Jun,4,Thursday,Honda,Urban,Tuesday,Jul,1,Male,Married,32,Policy Holder,Sedan,1366,11,400,1,7 years,31 to 35,No,No,1 year,2,Collision,26874,4,0
Feb,3,Friday,Mazda,Urban,Friday,Feb,3,Male,Married,38,Third Party,Sedan,1367,14,400,1,7 years,36 to 40,No,No,no change,1,Collision,23625,1,0
Nov,4,Tuesday,Honda,Urban,Tuesday,Nov,4,Female,Single,26,Policy Holder,Sport,1368,7,400,2,6 years,31 to 35,No,No,no change,1,Liability,22588,6,0
Nov,3,Tuesday,Toyota,Urban,Tuesday,Nov,4,Male,Married,31,Policy Holder,Sedan,1369,14,400,4,7 years,31 to 35,No,No,no change,1,Collision,35564,1,0
Nov,2,Wednesday,Pontiac,Urban,Wednesday,Nov,2,Male,Married,63,Policy Holder,Sport,1370,7,400,3,7 years,51 to 65,No,No,no change,1,Liability,31572,9,0
Aug,1,Thursday,Pontiac,Urban,Tuesday,Sep,2,Female,Married,36,Policy Holder,Sedan,1371,5,400,1,more than 7,36 to 40,No,No,no change,1,Collision,38190,1,0
Jul,4,Thursday,Pontiac,Urban,Friday,Aug,1,Male,Married,35,Policy Holder,Sedan,1372,9,400,1,6 years,31 to 35,No,No,no change,1,Collision,26479,1,0
May,1,Tuesday,Pontiac,Urban,Wednesday,May,1,Male,Married,37,Third Party,Sedan,1373,6,400,3,7 years,36 to 40,No,No,no change,1,All Perils,20125,1,0
May,1,Wednesday,Pontiac,Urban,Monday,May,2,Female,Married,40,Policy Holder,Sedan,1374,5,400,4,7 years,36 to 40,No,No,no change,1,All Perils,5889,0,0
Apr,5,Sunday,Toyota,Urban,Thursday,May,1,Male,Married,47,Policy Holder,Sport,1375,11,400,4,more than 7,41 to 50,Yes,No,no change,1,Liability,30526,3,0
Apr,4,Friday,Toyota,Urban,Wednesday,Jul,1,Male,Single,49,Third Party,Sedan,1376,15,400,2,7 years,41 to 50,No,No,no change,1,Collision,39266,2,0
Apr,3,Sunday,Pontiac,Urban,Friday,Apr,4,Male,Married,63,Policy Holder,Sport,1377,9,400,2,more than 7,51 to 65,No,No,no change,1,Liability,23783,4,0
Nov,1,Friday,Honda,Urban,Thursday,Nov,3,Male,Married,51,Policy Holder,Sedan,1378,16,500,3,more than 7,41 to 50,No,No,2 to 3 years,1,All Perils,36920,0,0
Oct,5,Sunday,Honda,Urban,Wednesday,Nov,1,Male,Married,32,Policy Holder,Sport,1379,8,400,4,7 years,31 to 35,No,No,no change,1,Liability,28004,1,0
Oct,4,Wednesday,Toyota,Urban,Saturday,Nov,1,Male,Married,45,Policy Holder,Sport,1380,16,400,1,7 years,36 to 40,No,No,no change,1,Liability,23549,1,0
Oct,2,Monday,Pontiac,Urban,Monday,Oct,2,Male,Single,30,Policy Holder,Sport,1381,14,400,2,6 years,31 to 35,No,No,no change,1,Liability,30512,9,0
Sep,2,Sunday,Toyota,Urban,Wednesday,Sep,3,Male,Single,22,Policy Holder,Sedan,1382,3,400,4,3 years,26 to 30,No,No,no change,1,All Perils,21968,3,0
Sep,2,Monday,Mazda,Urban,Tuesday,Sep,2,Male,Married,53,Policy Holder,Sport,1383,14,400,1,more than 7,41 to 50,No,No,no change,1,Collision,92132,4,0
Aug,2,Friday,Chevrolet,Rural,Thursday,Aug,4,Male,Married,28,Third Party,Utility,1384,1,400,3,7 years,31 to 35,No,No,no change,1,All Perils,78621,6,0
Aug,2,Tuesday,Honda,Urban,Wednesday,Aug,2,Male,Married,33,Policy Holder,Sport,1385,3,400,4,7 years,31 to 35,No,No,no change,1,Collision,93133,0,0
Jul,2,Friday,Honda,Urban,Friday,Jul,4,Male,Single,28,Policy Holder,Sedan,1386,14,400,4,4 years,31 to 35,No,No,no change,1,Collision,23157,0,0
Jun,2,Thursday,Toyota,Rural,Friday,Jun,2,Female,Married,40,Policy Holder,Sport,1387,1,400,1,6 years,36 to 40,No,No,4 to 8 years,2,Liability,26070,2,0
Jun,2,Thursday,Toyota,Urban,Wednesday,Jun,4,Male,Married,49,Third Party,Sedan,1388,11,400,2,more than 7,41 to 50,No,No,no change,1,Collision,31885,3,0
May,4,Monday,Pontiac,Urban,Monday,May,4,Male,Single,20,Policy Holder,Sedan,1389,8,400,2,3 years,21 to 25,No,No,no change,1,Collision,7523,1,0
May,2,Friday,Mazda,Urban,Sunday,May,3,Male,Married,46,Policy Holder,Sedan,1390,4,400,4,more than 7,41 to 50,No,No,no change,1,Collision,23975,0,0
May,2,Monday,Mazda,Urban,Tuesday,May,3,Female,Married,36,Policy Holder,Sedan,1391,6,400,3,7 years,36 to 40,No,No,no change,1,Collision,29229,7,0
May,2,Monday,Ford,Urban,Tuesday,Jul,3,Male,Married,43,Policy Holder,Sport,1392,12,400,3,more than 7,36 to 40,No,No,no change,1,Liability,39114,4,0
Apr,5,Saturday,Pontiac,Urban,Monday,May,2,Male,Single,24,Policy Holder,Sedan,1393,2,400,3,5 years,26 to 30,No,No,no change,1,All Perils,29046,1,0
Apr,4,Tuesday,Toyota,Urban,Sunday,May,1,Male,Married,32,Third Party,Sedan,1394,10,400,2,6 years,31 to 35,No,No,no change,1,All Perils,20217,3,0
Feb,3,Saturday,Toyota,Rural,Friday,Apr,1,Male,Married,65,Policy Holder,Sedan,1395,9,400,3,more than 7,51 to 65,No,No,no change,3,Collision,28538,1,1
Dec,3,Saturday,Honda,Urban,Monday,Dec,3,Male,Married,60,Policy Holder,Sedan,1396,14,700,1,more than 7,51 to 65,No,No,no change,1,Collision,21008,1,0
Feb,3,Saturday,Pontiac,Urban,Monday,Mar,3,Male,Single,33,Policy Holder,Sedan,1397,12,400,2,6 years,31 to 35,No,No,no change,1,Collision,37052,1,1
Mar,1,Thursday,Toyota,Urban,Monday,Mar,3,Male,Married,27,Policy Holder,Sport,1398,14,400,3,7 years,31 to 35,No,No,no change,1,Liability,38825,0,0
Mar,4,Monday,Toyota,Urban,Wednesday,Mar,4,Male,Married,28,Third Party,Sedan,1399,5,400,4,6 years,31 to 35,No,No,no change,1,All Perils,29046,5,0
Jan,4,Thursday,Toyota,Urban,Tuesday,Jan,5,Male,Single,18,Policy Holder,Sport,1400,5,400,3,3 years,21 to 25,No,No,no change,1,Liability,20822,3,0
Dec,5,Friday,VW,Urban,Monday,Jan,1,Male,Single,34,Policy Holder,Sedan,1401,6,400,2,5 years,31 to 35,No,No,no change,1,Collision,89265,2,0
Sep,4,Friday,Mazda,Urban,Wednesday,Sep,4,Male,Married,63,Policy Holder,Sedan,1402,15,400,4,more than 7,51 to 65,No,No,no change,1,Collision,21129,1,0
Dec,3,Friday,Pontiac,Urban,Friday,Dec,4,Male,Single,48,Third Party,Utility,1403,14,400,3,7 years,41 to 50,No,No,no change,1,All Perils,87098,7,0
Dec,3,Saturday,Mazda,Urban,Monday,Dec,3,Female,Single,32,Third Party,Sedan,1404,2,400,3,5 years,31 to 35,No,No,no change,1,All Perils,30913,0,0
Dec,3,Monday,Pontiac,Urban,Tuesday,Dec,3,Female,Single,55,Policy Holder,Sport,1405,8,400,1,7 years,41 to 50,No,No,no change,1,Liability,25865,0,0
Dec,4,Friday,Honda,Urban,Thursday,Dec,5,Female,Single,41,Third Party,Sport,1406,14,400,3,7 years,36 to 40,No,No,no change,1,Liability,28045,4,0
Dec,4,Thursday,Honda,Urban,Friday,Dec,4,Male,Married,56,Third Party,Sedan,1407,1,400,4,7 years,51 to 65,No,No,no change,1,All Perils,24704,1,0
Dec,4,Saturday,Honda,Urban,Tuesday,Dec,4,Male,Married,37,Policy Holder,Sedan,1408,16,400,1,7 years,36 to 40,No,No,4 to 8 years,2,Collision,32513,1,0
Dec,3,Tuesday,Pontiac,Urban,Thursday,Dec,4,Male,Married,66,Policy Holder,Sedan,1409,8,400,4,more than 7,over 65,No,No,no change,1,Collision,27819,0,0
Sep,4,Friday,Toyota,Urban,Monday,Sep,4,Female,Single,31,Third Party,Sedan,1410,1,400,4,6 years,31 to 35,No,No,no change,1,Collision,24942,1,0
Mar,4,Wednesday,Mazda,Urban,Monday,Mar,5,Female,Single,31,Policy Holder,Sport,1411,9,400,3,6 years,31 to 35,No,No,no change,1,Liability,23447,4,0
Feb,3,Monday,Honda,Urban,Friday,May,2,Female,Single,34,Policy Holder,Sedan,1412,4,400,1,6 years,31 to 35,No,No,no change,1,All Perils,23341,0,0
Jan,2,Monday,Pontiac,Urban,Monday,Jan,2,Female,Single,61,Policy Holder,Sedan,1413,3,400,3,7 years,51 to 65,No,No,no change,1,Collision,23694,1,0
Jan,1,Thursday,Honda,Urban,Thursday,Jan,1,Male,Married,42,Policy Holder,Sport,1414,10,400,4,more than 7,36 to 40,No,No,no change,1,Liability,31322,8,0
Jan,1,Thursday,Mazda,Urban,Tuesday,Jan,2,Male,Married,36,Policy Holder,Utility,1415,11,400,2,6 years,36 to 40,No,No,no change,1,All Perils,71335,4,0
Jan,1,Thursday,Chevrolet,Urban,Wednesday,Jan,2,Male,Single,33,Policy Holder,Sedan,1416,5,400,1,6 years,31 to 35,No,No,no change,1,Collision,29451,0,0
Mar,5,Monday,Mazda,Urban,Friday,Apr,1,Male,Married,46,Policy Holder,Sport,1417,11,400,3,more than 7,41 to 50,No,No,no change,1,Liability,37951,4,0
Mar,3,Thursday,Pontiac,Urban,Friday,Mar,3,Male,Married,33,Third Party,Sedan,1418,6,400,4,6 years,31 to 35,No,No,no change,1,Collision,30533,2,0
Feb,3,Saturday,Pontiac,Urban,Wednesday,Mar,1,Female,Single,32,Policy Holder,Sport,1419,16,400,3,5 years,31 to 35,No,No,no change,1,Liability,22728,1,1
May,1,Tuesday,Honda,Urban,Friday,May,4,Male,Single,0,Policy Holder,Sedan,1420,7,400,2,new,16 to 17,No,No,no change,1,All Perils,98563,0,0
May,1,Tuesday,Chevrolet,Urban,Tuesday,May,1,Male,Married,42,Policy Holder,Sport,1421,1,400,2,7 years,36 to 40,No,No,no change,1,Liability,FALSE,8,0
Feb,3,Saturday,Chevrolet,Urban,Monday,Feb,4,Male,Single,31,Third Party,Sedan,1422,3,400,4,6 years,31 to 35,No,No,no change,1,All Perils,70229,1,0
May,3,Sunday,Honda,Urban,Tuesday,May,3,Male,Single,26,Third Party,Sedan,1423,8,400,4,6 years,31 to 35,No,No,no change,1,Collision,28305,1,0
Jun,3,Thursday,Toyota,Urban,Wednesday,Jun,4,Male,Married,33,Third Party,Sedan,1424,5,400,4,7 years,31 to 35,No,No,no change,1,All Perils,20114,0,0
Feb,3,Sunday,Pontiac,Rural,Wednesday,Mar,1,Male,Married,54,Policy Holder,Sedan,1425,4,400,4,more than 7,41 to 50,No,No,no change,1,All Perils,18898,2,1
Jul,2,Saturday,Pontiac,Rural,Monday,Jul,2,Male,Married,63,Policy Holder,Sedan,1426,2,400,1,more than 7,51 to 65,Yes,No,no change,1,All Perils,18717,1,0
Feb,3,Sunday,Toyota,Urban,Wednesday,Mar,1,Male,Married,30,Policy Holder,Sedan,1427,9,700,3,7 years,31 to 35,No,No,no change,1,All Perils,29682,1,1
Sep,5,Friday,Mazda,Urban,Monday,Oct,1,Male,Married,27,Policy Holder,Sport,1428,10,400,4,7 years,31 to 35,No,No,no change,1,Liability,36690,0,0
Feb,3,Sunday,Toyota,Urban,Friday,Mar,3,Male,Single,31,Policy Holder,Sedan,1429,10,500,2,6 years,31 to 35,No,No,2 to 3 years,2,All Perils,20084,0,1
Oct,3,Monday,Ford,Rural,Tuesday,Oct,3,Male,Married,47,Third Party,Sedan,1430,14,400,1,more than 7,41 to 50,No,Yes,no change,1,All Perils,FALSE,0,0
Nov,2,Tuesday,Honda,Urban,Wednesday,Nov,2,Male,Married,35,Policy Holder,Sport,1431,9,400,1,6 years,31 to 35,No,No,no change,1,Liability,33415,4,0
Nov,2,Monday,Honda,Urban,Wednesday,Nov,2,Male,Single,16,Third Party,Sport,1432,15,400,2,2 years,18 to 20,No,Yes,no change,1,Collision,78485,1,0
Jul,3,Saturday,Pontiac,Urban,Monday,Jul,3,Male,Married,38,Policy Holder,Sedan,1433,16,400,2,6 years,36 to 40,No,No,no change,1,Collision,24782,1,0
Jul,4,Thursday,Pontiac,Urban,Thursday,Jul,4,Male,Married,33,Third Party,Sport,1434,5,400,2,5 years,31 to 35,No,No,no change,1,Liability,26128,1,0
Oct,4,Saturday,Chevrolet,Urban,Tuesday,Oct,5,Male,Married,43,Third Party,Sedan,1435,8,400,3,more than 7,36 to 40,No,No,no change,1,All Perils,21171,3,0
Dec,5,Thursday,Honda,Urban,Thursday,Dec,5,Female,Married,39,Policy Holder,Sport,1436,5,400,4,7 years,36 to 40,No,No,no change,4,Liability,29483,1,0
Feb,3,Sunday,Chevrolet,Rural,Tuesday,Oct,2,Male,Married,50,Policy Holder,Sedan,1437,16,400,4,more than 7,41 to 50,No,No,no change,1,All Perils,75425,4,1
Jan,1,Sunday,Honda,Urban,Wednesday,Jan,1,Female,Married,34,Policy Holder,Sedan,1438,10,400,1,6 years,31 to 35,No,No,no change,1,Collision,23698,2,0
Jul,1,Tuesday,Accura,Urban,Thursday,Jul,2,Male,Married,60,Policy Holder,Utility,1439,10,400,3,more than 7,51 to 65,No,No,no change,1,All Perils,78516,8,0
Jul,1,Friday,Pontiac,Urban,Friday,Sep,4,Female,Married,58,Policy Holder,Sport,1440,15,400,2,more than 7,51 to 65,No,No,no change,1,Liability,28891,0,0
Jun,5,Tuesday,Accura,Urban,Friday,Nov,3,Male,Married,43,Policy Holder,Sedan,1441,5,400,4,7 years,36 to 40,No,No,no change,1,Collision,28089,4,0
Jul,4,Saturday,Saab,Rural,Monday,Jul,4,Male,Married,38,Policy Holder,Sedan,1442,9,400,3,7 years,36 to 40,No,No,no change,1,Collision,38143,4,0
Jul,4,Thursday,Mazda,Urban,Thursday,Jul,4,Male,Single,28,Policy Holder,Sport,1443,8,400,3,7 years,31 to 35,No,No,no change,1,Liability,33862,4,0
Aug,3,Monday,Chevrolet,Urban,Wednesday,Aug,3,Male,Divorced,34,Policy Holder,Sedan,1444,4,400,1,7 years,31 to 35,No,No,no change,1,All Perils,95617,3,0
Oct,1,Thursday,Chevrolet,Rural,Monday,Oct,3,Female,Married,47,Policy Holder,Sedan,1445,14,400,2,6 years,41 to 50,No,No,no change,1,Collision,24389,1,0
Oct,1,Wednesday,Chevrolet,Urban,Monday,Oct,2,Male,Single,33,Policy Holder,Sport,1446,5,400,2,6 years,31 to 35,No,No,no change,1,Liability,71982,1,0
Dec,4,Wednesday,Pontiac,Urban,Monday,Jan,2,Male,Single,31,Third Party,Sedan,1447,10,400,1,7 years,31 to 35,Yes,No,no change,1,Collision,25105,2,0
Dec,2,Monday,Porche,Urban,Wednesday,Dec,3,Male,Married,63,Policy Holder,Utility,1448,8,400,2,more than 7,51 to 65,No,No,no change,1,All Perils,FALSE,8,0
Apr,4,Wednesday,Chevrolet,Urban,Thursday,May,2,Male,Single,33,Third Party,Sedan,1449,14,400,2,6 years,31 to 35,No,No,no change,1,Collision,23076,3,0
Jun,2,Wednesday,Toyota,Rural,Thursday,Jun,2,Male,Married,39,Policy Holder,Sedan,1450,8,400,3,more than 7,36 to 40,No,No,4 to 8 years,2,All Perils,88472,0,0
Aug,4,Friday,Honda,Urban,Tuesday,Sep,3,Male,Single,25,Policy Holder,Sedan,1451,11,400,4,5 years,26 to 30,No,No,no change,1,Collision,28143,4,0
Feb,4,Monday,Toyota,Urban,Wednesday,Feb,4,Male,Married,66,Third Party,Sedan,1452,7,400,2,more than 7,over 65,No,No,no change,1,All Perils,20586,1,0
Sep,3,Saturday,Honda,Urban,Tuesday,Sep,3,Female,Single,33,Policy Holder,Sport,1453,14,400,3,5 years,31 to 35,No,No,no change,1,Liability,37783,10,0
May,4,Friday,Chevrolet,Urban,Monday,Jun,2,Male,Single,48,Policy Holder,Utility,1454,1,400,1,7 years,41 to 50,No,No,no change,1,All Perils,69408,2,0
Oct,3,Tuesday,Honda,Urban,Tuesday,Oct,3,Male,Married,54,Third Party,Sport,1455,4,400,2,7 years,41 to 50,No,No,no change,1,Collision,77361,1,0
Feb,4,Thursday,Toyota,Urban,Friday,Feb,4,Male,Single,29,Third Party,Sedan,1456,7,400,3,7 years,31 to 35,No,No,no change,1,Collision,20772,1,0
Feb,4,Monday,Honda,Urban,Tuesday,Feb,4,Male,Single,0,Policy Holder,Sedan,1457,9,400,3,new,16 to 17,No,No,1 year,1,All Perils,78639,2,1
Feb,1,Thursday,Toyota,Urban,Thursday,Feb,1,Male,Married,55,Policy Holder,Sedan,1458,2,700,4,7 years,41 to 50,No,No,no change,1,All Perils,25588,2,0
Aug,5,Tuesday,Honda,Urban,Thursday,Sep,1,Female,Married,42,Policy Holder,Sedan,1459,7,400,3,7 years,36 to 40,No,No,no change,1,Collision,25558,0,0
Dec,1,Monday,Mazda,Urban,Monday,Dec,1,Male,Married,28,Policy Holder,Sport,1460,11,400,4,7 years,31 to 35,No,No,no change,1,Liability,20268,3,0
Dec,1,Thursday,Honda,Urban,Tuesday,Dec,4,Male,Married,32,Policy Holder,Sedan,1461,14,400,1,5 years,31 to 35,No,No,no change,1,All Perils,14696,4,0
Dec,3,Sunday,Toyota,Urban,Wednesday,Dec,5,Male,Single,26,Policy Holder,Sedan,1462,8,400,1,6 years,31 to 35,No,No,no change,1,All Perils,21194,0,0
Sep,4,Wednesday,Mazda,Urban,Thursday,Sep,5,Female,Married,26,Policy Holder,Sport,1463,14,400,2,7 years,31 to 35,No,No,no change,1,Liability,20012,2,0
Dec,3,Thursday,Pontiac,Urban,Thursday,Dec,5,Male,Married,49,Policy Holder,Sedan,1464,6,400,2,more than 7,41 to 50,No,No,no change,1,All Perils,23493,0,0
Dec,2,Wednesday,Chevrolet,Urban,Friday,Dec,5,Male,Married,62,Policy Holder,Utility,1465,9,400,2,more than 7,51 to 65,No,No,no change,1,All Perils,95520,1,0
Dec,1,Tuesday,Pontiac,Urban,Tuesday,Dec,4,Male,Married,55,Third Party,Sedan,1466,10,400,3,more than 7,41 to 50,No,No,no change,1,All Perils,6162,1,0
Oct,3,Saturday,Toyota,Urban,Tuesday,Nov,3,Male,Married,38,Policy Holder,Sedan,1467,9,400,1,7 years,36 to 40,No,No,no change,1,All Perils,25448,1,0
Sep,3,Monday,Pontiac,Urban,Monday,Sep,3,Male,Married,61,Policy Holder,Sedan,1468,1,400,4,more than 7,51 to 65,No,No,no change,1,Collision,28054,0,0
Sep,2,Friday,Mazda,Urban,Tuesday,Sep,3,Male,Married,47,Policy Holder,Sedan,1469,2,400,4,7 years,41 to 50,No,No,no change,1,Collision,26166,0,0
Jul,3,Monday,Chevrolet,Urban,Tuesday,Jul,4,Female,Single,26,Third Party,Sedan,1470,10,400,4,6 years,31 to 35,Yes,No,no change,1,Collision,20146,0,0
Apr,1,Wednesday,Pontiac,Urban,Thursday,Apr,2,Male,Married,43,Policy Holder,Sedan,1471,16,400,1,7 years,36 to 40,No,No,4 to 8 years,2,Collision,25362,1,0
May,4,Monday,Mazda,Urban,Wednesday,May,4,Male,Married,51,Policy Holder,Sport,1472,2,400,3,6 years,41 to 50,No,No,no change,1,Liability,27500,9,0
May,4,Tuesday,Pontiac,Urban,Wednesday,May,5,Female,Single,39,Policy Holder,Sedan,1473,16,400,2,7 years,36 to 40,No,No,no change,1,All Perils,26565,0,0
Nov,4,Sunday,Pontiac,Urban,Monday,Nov,4,Male,Single,22,Policy Holder,Sedan,1474,10,400,1,6 years,26 to 30,No,No,no change,1,Collision,21332,2,0
Aug,5,Wednesday,Accura,Urban,Wednesday,Sep,4,Male,Married,43,Policy Holder,Sedan,1475,13,400,2,more than 7,36 to 40,No,No,no change,1,All Perils,36309,1,0
May,5,Wednesday,Mazda,Urban,Thursday,Jun,1,Female,Married,31,Policy Holder,Sedan,1476,15,400,4,6 years,31 to 35,No,No,no change,1,Collision,27925,2,0
May,3,Sunday,Toyota,Urban,Thursday,May,4,Male,Married,36,Policy Holder,Sport,1477,2,400,2,7 years,36 to 40,No,No,no change,3,Liability,28167,1,0
May,2,Tuesday,Chevrolet,Urban,Wednesday,May,3,Male,Married,55,Policy Holder,Sedan,1478,9,400,4,more than 7,41 to 50,No,No,no change,1,Collision,34095,2,0
May,2,Thursday,Mazda,Rural,Saturday,Jun,3,Male,Single,34,Policy Holder,Sedan,1479,14,400,3,6 years,31 to 35,No,No,no change,1,Collision,20576,3,0
Dec,4,Sunday,Pontiac,Urban,Wednesday,Jan,2,Male,Married,35,Policy Holder,Sedan,1480,15,500,1,6 years,31 to 35,No,No,2 to 3 years,1,Collision,24679,2,0
Nov,4,Thursday,Mazda,Urban,Friday,Nov,4,Male,Married,46,Third Party,Sport,1481,15,400,1,7 years,41 to 50,No,No,no change,1,Liability,25237,1,0
Feb,4,Tuesday,Accura,Urban,Friday,Apr,4,Male,Married,62,Policy Holder,Sedan,1482,10,400,4,more than 7,51 to 65,No,No,no change,1,All Perils,32489,3,1
Feb,4,Tuesday,Dodge,Urban,Thursday,Mar,1,Male,Married,42,Third Party,Sedan,1483,11,400,1,7 years,36 to 40,No,No,no change,1,Collision,32727,0,0
Feb,4,Tuesday,Honda,Urban,Wednesday,Mar,1,Male,Married,40,Policy Holder,Sedan,1484,7,400,1,7 years,36 to 40,No,No,no change,1,All Perils,84005,2,1
Oct,2,Sunday,Mazda,Urban,Monday,Oct,2,Female,Single,33,Third Party,Sedan,1485,3,400,2,5 years,31 to 35,No,No,no change,1,All Perils,69646,1,0
Sep,3,Monday,Honda,Urban,Monday,Sep,3,Male,Married,44,Policy Holder,Sedan,1486,8,400,3,7 years,36 to 40,No,No,no change,1,Collision,33196,2,0
Sep,3,Saturday,Pontiac,Urban,Monday,Sep,4,Male,Single,35,Policy Holder,Sport,1487,15,400,1,6 years,31 to 35,No,No,no change,1,Liability,37831,4,0
