,Company Name,Employee Job Title,Employee Gender,Employee Age,Employee Physical Location,Employee Work Location,Retention Priority,Employee Salary,Employment Status,"Last Performance Rating (5=best, 1=worst)",Retained
870,Infosys,Test Engineer,f,22,Dubai,hybrid,1,401000,Full Time,3.8,1
871,IBM,Python Developer,other,34,Bombay,hybrid,2,918000,Intern,3.7,0
872,IBM,Test Engineer,f,34,London,remote,1,721000,Part-Time,4.9,0
873,Wipro,Test Engineer,m,24,New York,onsite,2,470000,Part-Time,1.0,1
874,Cognizant,Python Developer,f,41,Sydney,remote,5,239000,Part-Time,4.4,1
875,Infosys,Back End Developer,other,31,London,onsite,4,579000,Full Time,2.9,1
876,Microsoft,Python Developer,f,28,California,hybrid,2,621000,Part-Time,4.5,1
877,Cognizant,Python Developer,m,38,New York,hybrid,3,16000,Full Time,1.5,1
878,Mastercard,Front End Developer,m,18,London,onsite,4,853000,Full Time,2.7,1
879,Amazon,Back End Developer,m,53,Moscow,hybrid,5,71000,Full Time,2.0,1
880,Apple,Test Engineer,f,39,Manchester,onsite,5,588000,Full Time,0.1,0
881,Apple,Software Development Engineer,m,46,Tokyo,hybrid,1,51000,Part-Time,3.7,1
882,Cognizant,Software Development Engineer,m,33,Bombay,remote,1,193000,Full Time,1.7,1
883,Apple,Full Stack Developer,m,49,Munich,remote,3,98000,Full Time,4.7,0
884,Uber,Research Engineer,m,45,Manchester,remote,2,130000,Full Time,2.4,0
885,Microsoft,Test Engineer,other,30,Munich,onsite,1,545000,Full Time,2.6,0
886,Uber,Data Analyst,f,30,Bombay,onsite,2,929000,Full Time,4.5,0
887,Microsoft,Front End Developer,other,53,Bombay,hybrid,1,684000,Full Time,3.0,1
888,Mastercard,IOS Developer,m,50,Moscow,remote,1,427000,Full Time,1.7,1
889,IBM,IOS Developer,f,54,California,hybrid,4,116000,Intern,1.7,0
890,Google,Software Development Engineer,f,27,New York,onsite,5,355000,Full Time,2.5,0
891,IBM,Full Stack Developer,f,37,Manchester,remote,4,518000,Full Time,0.2,1
892,Amazon,Back End Developer,other,41,New York,onsite,3,706000,Intern,0.1,1
893,Cognizant,Software Development Engineer,m,20,California,onsite,1,940000,Intern,0.2,1
894,Uber,Android Developer,other,26,New York,remote,4,980000,Part-Time,3.9,0
895,Amazon,Android Developer,m,32,Tokyo,remote,3,966000,Intern,0.8,1
896,Amazon,Research Engineer,m,22,Moscow,onsite,2,731000,Intern,3.0,1
897,Amazon,Software Development Engineer,m,35,Sydney,remote,5,855000,Full Time,1.0,0
898,Microsoft,IOS Developer,other,47,California,remote,3,144000,Full Time,4.3,1
899,Infosys,Software Development Engineer,other,47,Dubai,remote,3,691000,Intern,3.7,0
900,Uber,Front End Developer,other,55,London,remote,1,111000,Part-Time,3.4,0
901,Google,Android Developer,m,22,Tokyo,hybrid,1,272000,Full Time,3.5,1
902,Apple,Software Development Engineer,f,42,California,hybrid,4,99000,Full Time,0.4,1
903,Microsoft,Research Engineer,other,24,Moscow,remote,1,325000,Intern,2.8,0
904,Wipro,Android Developer,other,30,Sydney,hybrid,1,634000,Full Time,3.2,1
905,Microsoft,Front End Developer,other,35,Bombay,onsite,4,665000,Part-Time,3.6,0
906,IBM,Test Engineer,m,38,Munich,remote,1,958000,Full Time,1.0,0
907,Wipro,Full Stack Developer,other,33,Munich,onsite,5,369000,Part-Time,3.3,1
908,IBM,Front End Developer,f,43,London,remote,2,397000,Full Time,3.3,1
909,Cognizant,Data Analyst,f,24,Moscow,hybrid,5,285000,Intern,2.1,1
910,Amazon,Test Engineer,f,46,Moscow,remote,5,866000,Intern,4.2,1
911,Infosys,Test Engineer,f,35,Munich,remote,2,613000,Part-Time,3.6,0
912,Google,Android Developer,other,49,Manchester,onsite,2,456000,Full Time,1.7,1
913,Wipro,Front End Developer,other,29,New York,hybrid,4,874000,Full Time,1.9,0
914,Wipro,Software Development Engineer,other,42,Tokyo,remote,3,812000,Full Time,4.5,0
915,Microsoft,Front End Developer,f,48,London,onsite,3,532000,Intern,3.2,0
916,Mastercard,Data Analyst,m,45,California,onsite,2,583000,Full Time,1.2,1
917,IBM,Back End Developer,f,53,Dubai,onsite,3,869000,Full Time,1.2,1
918,Apple,Python Developer,m,53,Bombay,hybrid,3,731000,Full Time,2.2,1
919,Mastercard,Front End Developer,m,42,Dubai,hybrid,1,143000,Full Time,4.4,1
920,Apple,Research Engineer,m,22,Manchester,onsite,2,696000,Full Time,0.9,1
921,Wipro,Research Engineer,f,44,California,hybrid,4,387000,Full Time,3.3,0
922,Wipro,Python Developer,f,31,Tokyo,onsite,2,568000,Full Time,4.3,1
923,Apple,Full Stack Developer,f,26,Tokyo,remote,2,943000,Full Time,4.0,1
924,Google,Python Developer,f,19,Moscow,remote,1,408000,Full Time,1.5,0
925,IBM,IOS Developer,other,44,Dubai,remote,2,182000,Full Time,4.9,0
926,Mastercard,Python Developer,m,44,California,remote,1,646000,Part-Time,2.3,1
927,Cognizant,Full Stack Developer,other,46,Manchester,hybrid,2,639000,Full Time,3.6,1
928,Mastercard,Android Developer,other,40,London,onsite,2,614000,Full Time,0.1,0
929,Cognizant,Full Stack Developer,m,19,Sydney,onsite,3,340000,Full Time,1.5,1
930,Cognizant,Data Analyst,f,55,Moscow,hybrid,1,280000,Part-Time,0.1,1
931,Wipro,Python Developer,other,30,Munich,remote,5,892000,Part-Time,2.0,1
932,Microsoft,Full Stack Developer,f,35,Sydney,remote,2,618000,Full Time,2.3,0
933,Apple,Research Engineer,other,38,London,hybrid,3,711000,Full Time,1.9,0
934,Microsoft,Android Developer,other,54,London,hybrid,3,939000,Full Time,3.3,0
935,Wipro,IOS Developer,f,35,California,onsite,4,69000,Intern,2.6,1
936,Amazon,Front End Developer,other,39,New York,hybrid,5,530000,Full Time,3.5,1
937,Apple,Software Development Engineer,f,43,Moscow,hybrid,3,634000,Full Time,3.1,1
938,Amazon,Software Development Engineer,other,44,California,remote,2,384000,Full Time,4.3,1
939,Uber,Android Developer,m,52,Tokyo,remote,2,691000,Full Time,3.1,0
940,IBM,Research Engineer,m,45,Manchester,onsite,5,459000,Full Time,3.3,1
941,Amazon,Front End Developer,f,32,Bombay,remote,1,830000,Part-Time,2.3,0
942,Uber,Data Analyst,other,39,Manchester,onsite,1,921000,Full Time,2.2,0
943,Google,Android Developer,other,35,Moscow,onsite,2,291000,Part-Time,2.0,1
944,Apple,Research Engineer,other,21,Munich,hybrid,2,102000,Full Time,1.1,1
945,Microsoft,Back End Developer,m,48,Tokyo,hybrid,3,305000,Intern,4.6,1
946,IBM,IOS Developer,other,35,London,onsite,4,598000,Intern,2.4,0
947,Uber,Test Engineer,m,46,Tokyo,onsite,5,675000,Intern,0.2,0
948,Google,Test Engineer,m,51,London,remote,2,686000,Full Time,0.2,0
949,Google,Back End Developer,f,51,California,onsite,2,451000,Intern,3.7,0
950,IBM,Python Developer,m,48,California,onsite,1,466000,Intern,1.9,1
951,IBM,IOS Developer,m,49,Manchester,onsite,5,616000,Full Time,2.5,1
952,Wipro,Research Engineer,m,28,Moscow,hybrid,2,217000,Full Time,1.0,1
953,Uber,Front End Developer,f,48,London,hybrid,4,117000,Full Time,3.8,1
954,Mastercard,Android Developer,m,35,Bombay,onsite,3,309000,Full Time,2.5,1
955,Amazon,Full Stack Developer,f,24,Sydney,hybrid,5,547000,Full Time,0.2,0
956,Cognizant,Test Engineer,other,40,Dubai,hybrid,4,628000,Full Time,0.8,0
957,Microsoft,Back End Developer,f,52,Moscow,onsite,2,428000,Full Time,1.8,1
958,Infosys,Android Developer,other,39,New York,hybrid,1,971000,Full Time,0.5,1
959,Google,Back End Developer,f,24,London,hybrid,1,651000,Full Time,2.4,0
960,IBM,Data Analyst,other,23,Moscow,hybrid,2,777000,Full Time,2.2,0
961,Wipro,Software Development Engineer,f,44,Munich,hybrid,1,243000,Full Time,3.7,0
962,Apple,Back End Developer,m,24,California,remote,3,77000,Full Time,0.2,0
963,Cognizant,Software Development Engineer,f,38,London,remote,2,473000,Full Time,2.6,0
964,IBM,Software Development Engineer,m,26,Dubai,hybrid,2,420000,Full Time,1.8,0
965,Microsoft,Android Developer,f,36,Sydney,onsite,1,77000,Full Time,0.1,1
966,Microsoft,Front End Developer,other,45,New York,onsite,3,566000,Part-Time,1.5,1
967,Amazon,Data Analyst,m,45,Moscow,onsite,2,227000,Part-Time,3.9,1
968,Uber,Full Stack Developer,other,53,Bombay,remote,5,461000,Full Time,1.7,0
969,Mastercard,Front End Developer,other,49,Manchester,remote,5,588000,Full Time,3.2,1
970,Microsoft,Research Engineer,f,44,Moscow,remote,4,620000,Part-Time,4.1,1
971,Infosys,Research Engineer,f,44,Moscow,onsite,1,776000,Full Time,0.3,0
972,Amazon,IOS Developer,f,21,New York,onsite,2,118000,Part-Time,4.3,1
973,Wipro,Full Stack Developer,f,22,New York,hybrid,2,11000,Full Time,2.2,0
974,IBM,Software Development Engineer,f,50,Munich,remote,5,665000,Part-Time,1.9,1
975,Apple,Front End Developer,other,42,New York,hybrid,4,544000,Intern,1.5,1
976,Mastercard,Data Analyst,m,22,New York,hybrid,5,679000,Full Time,3.2,0
977,Wipro,Data Analyst,f,18,London,remote,4,702000,Part-Time,0.0,0
978,Cognizant,Software Development Engineer,other,31,Tokyo,hybrid,4,993000,Intern,1.8,1
979,Mastercard,Software Development Engineer,m,19,Sydney,hybrid,5,57000,Intern,1.2,1
980,Wipro,Data Analyst,other,44,Moscow,remote,3,885000,Intern,1.5,0
981,Uber,Test Engineer,other,31,Bombay,remote,2,184000,Full Time,3.0,0
982,IBM,Python Developer,other,18,New York,remote,4,809000,Intern,0.6,1
983,Cognizant,Front End Developer,other,26,Manchester,hybrid,4,506000,Intern,1.9,0
984,Wipro,IOS Developer,other,31,Manchester,remote,4,800000,Full Time,1.3,0
985,Google,IOS Developer,other,50,Moscow,remote,3,27000,Intern,1.4,0
986,Mastercard,Test Engineer,m,40,Dubai,hybrid,2,835000,Part-Time,2.7,0
987,Apple,Research Engineer,other,42,Tokyo,hybrid,3,1000000,Full Time,1.5,0
988,Uber,Research Engineer,other,46,Sydney,onsite,3,816000,Intern,1.9,0
989,Wipro,Front End Developer,f,54,London,onsite,5,117000,Full Time,0.3,0
990,Microsoft,Data Analyst,f,43,Manchester,hybrid,4,760000,Full Time,0.5,0
991,Apple,Full Stack Developer,other,44,Bombay,onsite,1,109000,Part-Time,2.1,1
992,Amazon,IOS Developer,m,36,Munich,remote,5,991000,Part-Time,2.0,1
993,Uber,Data Analyst,other,24,California,remote,4,76000,Full Time,1.9,0
994,Amazon,Full Stack Developer,m,29,Bombay,hybrid,4,799000,Intern,2.1,1
995,Amazon,Android Developer,other,49,Munich,remote,2,244000,Intern,4.2,1
996,Infosys,Data Analyst,f,39,Sydney,hybrid,4,821000,Intern,4.7,1
997,Uber,Android Developer,m,37,Munich,remote,1,380000,Full Time,2.7,1
998,Apple,Python Developer,m,35,London,remote,2,13000,Full Time,3.8,1
999,Apple,Data Analyst,other,54,California,hybrid,1,785000,Part-Time,4.9,1
1000,IBM,Android Developer,m,44,Dubai,remote,5,337000,Intern,2.8,0
1001,IBM,Software Development Engineer,other,27,London,remote,2,725000,Full Time,3.2,1
1002,Infosys,Back End Developer,other,55,Munich,remote,3,120000,Intern,3.6,1
1003,Infosys,IOS Developer,f,42,London,hybrid,5,971000,Full Time,0.2,0
1004,Infosys,Data Analyst,f,42,California,hybrid,3,412000,Part-Time,0.9,0
1005,Wipro,Software Development Engineer,f,37,Sydney,onsite,4,159000,Intern,4.1,0
1006,Apple,Front End Developer,f,55,Sydney,hybrid,3,808000,Part-Time,0.3,0
1007,Google,Data Analyst,f,48,Tokyo,onsite,1,979000,Intern,1.2,1
1008,Microsoft,Data Analyst,f,25,Moscow,hybrid,1,18000,Full Time,2.9,1
1009,Infosys,Android Developer,other,23,California,remote,1,489000,Full Time,4.9,1
1010,Cognizant,Test Engineer,other,46,California,onsite,4,886000,Full Time,2.7,0
1011,Microsoft,Test Engineer,f,50,New York,hybrid,1,273000,Full Time,3.2,0
1012,Wipro,Back End Developer,other,23,London,onsite,3,6000,Part-Time,3.7,1
1013,Infosys,Python Developer,other,25,Munich,hybrid,1,519000,Intern,3.6,1
1014,Infosys,Android Developer,other,53,Dubai,remote,4,641000,Full Time,1.7,0
1015,Apple,Python Developer,other,23,Dubai,remote,1,893000,Full Time,0.8,0
1016,Microsoft,Test Engineer,other,25,California,remote,5,523000,Full Time,1.2,1
1017,Apple,Python Developer,f,51,Bombay,remote,1,803000,Part-Time,3.1,0
1018,Apple,Back End Developer,m,18,Sydney,onsite,5,851000,Intern,2.5,0
1019,Wipro,Full Stack Developer,other,31,Munich,onsite,5,762000,Intern,3.8,1
1020,Mastercard,IOS Developer,m,54,Tokyo,remote,3,853000,Full Time,0.5,0
1021,Uber,Data Analyst,f,27,Tokyo,onsite,1,247000,Full Time,0.8,1
1022,Mastercard,Full Stack Developer,other,54,Sydney,hybrid,3,696000,Part-Time,1.9,0
1023,Uber,Research Engineer,f,31,London,onsite,4,182000,Part-Time,2.2,0
1024,Uber,Front End Developer,other,39,California,remote,2,661000,Full Time,3.0,1
1025,Wipro,Python Developer,f,31,Munich,remote,1,543000,Full Time,4.0,1
1026,Wipro,Data Analyst,f,22,Moscow,hybrid,4,809000,Full Time,3.4,1
1027,Wipro,Software Development Engineer,m,21,Manchester,hybrid,2,605000,Intern,4.6,1
1028,Google,Android Developer,other,25,Moscow,onsite,1,681000,Part-Time,3.7,0
1029,Apple,IOS Developer,other,53,Manchester,remote,4,631000,Part-Time,2.7,1
1030,Amazon,Android Developer,f,22,California,onsite,2,75000,Full Time,4.2,1
1031,Mastercard,Test Engineer,m,40,Sydney,hybrid,2,560000,Part-Time,3.8,0
1032,Cognizant,Back End Developer,m,37,Sydney,hybrid,1,157000,Part-Time,2.5,0
1033,Uber,Research Engineer,f,28,Sydney,onsite,2,664000,Intern,1.0,0
1034,Microsoft,Test Engineer,f,52,Munich,remote,5,661000,Part-Time,4.2,1
1035,Uber,Back End Developer,other,18,California,onsite,2,659000,Full Time,4.0,1
1036,IBM,Front End Developer,f,48,Dubai,onsite,3,503000,Part-Time,0.0,1
1037,Cognizant,Test Engineer,f,35,London,hybrid,4,448000,Full Time,0.4,1
1038,IBM,Full Stack Developer,other,43,Manchester,onsite,1,739000,Part-Time,1.5,1
1039,Wipro,Test Engineer,f,50,California,remote,1,380000,Part-Time,3.2,1
1040,Wipro,Full Stack Developer,f,50,Sydney,hybrid,1,10000,Intern,2.0,1
1041,IBM,Research Engineer,other,23,Manchester,hybrid,4,758000,Part-Time,2.1,1
1042,Amazon,IOS Developer,f,30,California,hybrid,2,431000,Full Time,3.8,1
1043,Apple,Data Analyst,f,20,London,onsite,3,302000,Full Time,1.4,0
1044,Mastercard,Python Developer,m,31,Dubai,onsite,4,470000,Full Time,4.1,1
1045,Apple,Front End Developer,other,42,Moscow,onsite,5,387000,Full Time,3.4,1
1046,Wipro,Software Development Engineer,other,28,California,onsite,1,497000,Part-Time,3.4,1
1047,Infosys,Test Engineer,m,51,New York,hybrid,1,227000,Full Time,2.5,1
1048,IBM,Research Engineer,f,23,New York,hybrid,5,398000,Full Time,1.5,0
1049,Apple,Software Development Engineer,m,26,Tokyo,hybrid,4,856000,Full Time,1.3,0
1050,Apple,Full Stack Developer,m,42,Dubai,remote,1,638000,Full Time,3.1,1
1051,IBM,Data Analyst,other,33,California,remote,4,430000,Full Time,4.5,1
1052,Google,Android Developer,other,43,New York,hybrid,3,881000,Part-Time,3.9,0
1053,Amazon,Test Engineer,other,42,Manchester,onsite,3,860000,Part-Time,3.8,1
1054,Uber,Data Analyst,m,42,New York,onsite,2,459000,Intern,0.3,0
1055,IBM,Back End Developer,m,36,London,remote,2,639000,Part-Time,0.7,1
1056,Wipro,Test Engineer,other,39,Moscow,onsite,5,469000,Full Time,2.1,1
1057,Mastercard,Research Engineer,f,31,Manchester,hybrid,4,665000,Intern,2.6,0
1058,IBM,IOS Developer,f,54,Tokyo,onsite,1,573000,Part-Time,2.3,0
1059,Wipro,Python Developer,m,55,London,remote,3,892000,Full Time,0.2,1
1060,Mastercard,Back End Developer,other,20,Dubai,hybrid,2,973000,Intern,3.1,1
1061,Mastercard,Python Developer,m,31,New York,remote,2,774000,Intern,4.7,0
1062,Infosys,Software Development Engineer,f,39,Dubai,remote,4,570000,Part-Time,1.0,0
1063,Google,Test Engineer,m,22,New York,onsite,4,234000,Full Time,3.8,0
1064,IBM,Front End Developer,m,51,Tokyo,onsite,1,402000,Full Time,0.3,1
1065,Apple,Research Engineer,f,24,Bombay,hybrid,4,720000,Full Time,2.0,1
1066,Cognizant,Full Stack Developer,m,40,Munich,onsite,1,716000,Full Time,0.0,1
1067,IBM,Research Engineer,m,26,London,onsite,3,296000,Intern,2.7,0
1068,Apple,Front End Developer,f,43,New York,onsite,1,307000,Full Time,0.3,1
1069,Mastercard,Front End Developer,f,53,Munich,onsite,2,358000,Intern,2.0,0
1070,Google,Python Developer,f,33,Dubai,onsite,5,233000,Full Time,4.4,1
1071,Mastercard,Full Stack Developer,m,47,Dubai,remote,2,522000,Full Time,1.3,1
1072,Uber,Test Engineer,f,46,Tokyo,onsite,2,461000,Part-Time,1.1,0
1073,Apple,Python Developer,f,30,Moscow,onsite,5,632000,Part-Time,0.8,0
1074,IBM,Research Engineer,other,22,Tokyo,remote,3,500000,Part-Time,0.3,0
1075,Mastercard,Data Analyst,m,49,Sydney,hybrid,5,420000,Full Time,4.7,0
1076,Cognizant,Back End Developer,m,52,Manchester,remote,4,625000,Part-Time,2.5,0
1077,Cognizant,Software Development Engineer,m,24,Munich,remote,5,854000,Part-Time,2.8,1
1078,Uber,Back End Developer,other,37,Moscow,remote,2,486000,Part-Time,4.2,0
1079,IBM,IOS Developer,other,52,New York,onsite,3,553000,Intern,4.4,1
1080,Amazon,IOS Developer,f,29,New York,onsite,2,532000,Full Time,1.7,0
1081,Infosys,Android Developer,other,42,Sydney,hybrid,2,759000,Full Time,0.7,0
1082,IBM,Full Stack Developer,f,20,Dubai,remote,5,361000,Part-Time,0.4,1
1083,Microsoft,Android Developer,other,50,Sydney,onsite,1,364000,Part-Time,3.5,0
1084,Microsoft,Test Engineer,f,50,Sydney,onsite,5,271000,Full Time,0.4,0
1085,Cognizant,Full Stack Developer,f,30,Moscow,remote,1,653000,Part-Time,3.9,0
1086,Amazon,Full Stack Developer,f,54,Munich,onsite,3,944000,Part-Time,2.6,1
1087,Wipro,Data Analyst,f,34,Moscow,onsite,4,138000,Full Time,1.4,1
1088,Cognizant,Test Engineer,m,31,Moscow,hybrid,5,510000,Part-Time,4.7,1
1089,Mastercard,Front End Developer,other,52,New York,remote,2,575000,Intern,3.6,1
1090,Infosys,Data Analyst,m,54,Dubai,hybrid,3,457000,Full Time,3.6,1
1091,Infosys,Software Development Engineer,other,31,Sydney,onsite,4,767000,Intern,2.7,0
1092,Infosys,Front End Developer,other,29,Moscow,hybrid,4,906000,Full Time,1.2,1
1093,Microsoft,Data Analyst,f,42,New York,remote,4,359000,Intern,2.4,1
1094,Mastercard,IOS Developer,m,35,Manchester,remote,1,720000,Part-Time,0.8,0
1095,Cognizant,Android Developer,f,36,California,remote,2,617000,Part-Time,2.4,1
1096,Mastercard,Back End Developer,f,33,New York,onsite,2,813000,Intern,4.1,0
1097,Cognizant,Python Developer,f,46,Sydney,hybrid,5,378000,Full Time,3.3,1
1098,Mastercard,Front End Developer,other,22,Sydney,remote,2,339000,Part-Time,0.3,1
1099,Apple,Test Engineer,f,34,California,hybrid,2,311000,Full Time,3.3,0
1100,Apple,Test Engineer,other,32,Dubai,hybrid,3,385000,Intern,4.4,0
1101,Infosys,Full Stack Developer,m,43,Manchester,hybrid,5,766000,Part-Time,1.1,0
1102,Uber,Back End Developer,f,43,Dubai,remote,2,497000,Full Time,0.8,1
1103,Amazon,Python Developer,m,47,Bombay,remote,5,615000,Part-Time,0.5,1
1104,Mastercard,Python Developer,m,44,Bombay,remote,3,319000,Intern,1.7,0
1105,Cognizant,Test Engineer,m,39,Munich,remote,5,269000,Full Time,4.3,0
1106,Google,Android Developer,f,39,Dubai,hybrid,1,875000,Intern,1.2,1
1107,Cognizant,Software Development Engineer,other,55,Tokyo,onsite,5,980000,Part-Time,1.4,0
1108,Cognizant,Test Engineer,other,44,London,remote,2,396000,Intern,1.8,1
1109,Mastercard,Back End Developer,other,37,California,remote,3,466000,Intern,4.3,0
1110,Infosys,Front End Developer,m,21,Dubai,remote,4,441000,Intern,0.6,1
1111,Google,IOS Developer,other,45,London,hybrid,2,169000,Part-Time,5.0,0
1112,Microsoft,Full Stack Developer,m,53,Dubai,remote,4,0,Full Time,3.0,0
1113,Google,Back End Developer,m,37,Sydney,hybrid,3,3000,Intern,4.9,0
1114,Cognizant,Software Development Engineer,f,28,California,hybrid,5,744000,Full Time,2.8,1
1115,Mastercard,IOS Developer,f,55,Bombay,remote,2,714000,Part-Time,0.3,0
1116,IBM,Research Engineer,f,42,Sydney,remote,3,33000,Part-Time,3.4,0
1117,Cognizant,Test Engineer,m,23,Bombay,hybrid,5,823000,Part-Time,2.0,0
1118,Apple,Data Analyst,other,24,Manchester,hybrid,1,521000,Full Time,3.4,0
1119,Cognizant,Test Engineer,other,48,Tokyo,hybrid,2,387000,Full Time,4.3,0
1120,Infosys,Back End Developer,f,42,London,hybrid,1,645000,Full Time,0.3,0
1121,Wipro,Front End Developer,other,45,Manchester,onsite,3,734000,Intern,1.7,1
1122,Wipro,Front End Developer,m,52,London,onsite,3,783000,Part-Time,1.8,1
1123,Cognizant,Full Stack Developer,m,51,Tokyo,remote,4,728000,Full Time,2.5,0
1124,Microsoft,Research Engineer,f,49,Munich,hybrid,5,554000,Full Time,0.7,0
1125,IBM,Python Developer,other,49,Sydney,onsite,4,874000,Intern,0.7,0
1126,Infosys,Software Development Engineer,f,25,Bombay,hybrid,5,269000,Full Time,3.6,1
1127,IBM,Data Analyst,m,41,Munich,onsite,1,9000,Full Time,0.4,0
1128,Cognizant,IOS Developer,f,41,Dubai,remote,3,585000,Part-Time,4.1,0
1129,Mastercard,IOS Developer,f,54,London,hybrid,2,238000,Part-Time,0.4,0
1130,Uber,Python Developer,m,55,Dubai,hybrid,2,284000,Full Time,0.0,0
1131,Mastercard,Full Stack Developer,other,40,Bombay,hybrid,2,122000,Intern,0.3,0
1132,Infosys,Research Engineer,f,43,New York,hybrid,4,423000,Full Time,4.6,1
1133,Microsoft,Data Analyst,m,36,California,remote,4,322000,Part-Time,4.2,1
1134,Wipro,Full Stack Developer,m,23,Munich,hybrid,3,696000,Intern,0.3,0
1135,Mastercard,Software Development Engineer,f,55,Bombay,hybrid,3,568000,Full Time,3.2,0
1136,Infosys,IOS Developer,f,46,Munich,hybrid,2,22000,Part-Time,4.9,0
1137,IBM,Data Analyst,other,46,California,remote,1,799000,Full Time,1.4,0
1138,Microsoft,Research Engineer,m,25,Manchester,onsite,3,680000,Intern,2.7,1
1139,Wipro,Back End Developer,m,37,New York,onsite,1,586000,Intern,4.3,1
1140,Microsoft,Test Engineer,m,25,Tokyo,onsite,1,803000,Full Time,0.0,0
1141,Apple,Test Engineer,other,36,Bombay,remote,1,415000,Intern,0.2,0
1142,IBM,Research Engineer,f,43,California,onsite,1,762000,Part-Time,4.3,1
1143,Mastercard,Data Analyst,f,21,Moscow,hybrid,4,994000,Full Time,3.3,0
1144,Amazon,Software Development Engineer,other,50,Munich,hybrid,4,397000,Full Time,4.8,1
1145,Amazon,Python Developer,f,31,Munich,hybrid,1,357000,Part-Time,3.4,0
1146,Microsoft,Python Developer,other,35,New York,hybrid,3,373000,Intern,3.0,0
1147,Infosys,Python Developer,m,47,California,onsite,3,711000,Full Time,4.2,1
1148,Google,Android Developer,f,35,New York,hybrid,2,551000,Full Time,1.9,0
1149,Cognizant,Test Engineer,m,36,Tokyo,onsite,5,22000,Full Time,2.0,0
1150,Uber,Front End Developer,other,42,Dubai,hybrid,4,208000,Part-Time,1.1,1
1151,Google,Research Engineer,m,21,New York,onsite,2,176000,Intern,2.4,1
1152,Google,Python Developer,f,48,New York,remote,2,600000,Part-Time,4.5,0
1153,Mastercard,Back End Developer,other,55,New York,onsite,2,234000,Part-Time,2.1,1
1154,Cognizant,Back End Developer,m,25,Munich,remote,3,559000,Part-Time,3.1,0
1155,Amazon,Research Engineer,other,34,California,hybrid,5,57000,Full Time,0.3,0
1156,IBM,Android Developer,f,38,Manchester,onsite,5,251000,Part-Time,1.4,1
1157,Amazon,Front End Developer,m,28,California,remote,3,743000,Part-Time,4.6,0
1158,Amazon,Back End Developer,m,33,Bombay,onsite,2,613000,Intern,4.1,1
1159,Cognizant,Android Developer,m,26,Moscow,onsite,2,745000,Part-Time,3.0,0
1160,Google,Software Development Engineer,f,25,Dubai,remote,1,522000,Full Time,4.1,0
1161,Cognizant,Research Engineer,m,54,Munich,remote,1,688000,Full Time,3.1,0
1162,Apple,Data Analyst,f,44,Moscow,remote,2,953000,Part-Time,3.2,0
1163,Mastercard,Back End Developer,f,49,New York,hybrid,2,481000,Part-Time,2.0,0
1164,Google,Front End Developer,f,55,Moscow,hybrid,1,495000,Part-Time,1.6,1
1165,IBM,IOS Developer,f,46,Sydney,remote,3,335000,Part-Time,2.2,1
1166,Cognizant,Software Development Engineer,f,37,California,remote,4,554000,Full Time,2.1,0
1167,Infosys,Full Stack Developer,m,21,Manchester,remote,1,82000,Full Time,1.0,0
1168,Cognizant,Research Engineer,f,31,London,onsite,3,728000,Intern,4.9,0
1169,Infosys,Full Stack Developer,f,55,Bombay,remote,4,426000,Intern,4.0,0
1170,Mastercard,Data Analyst,f,55,California,remote,3,652000,Intern,2.0,0
1171,Wipro,Software Development Engineer,f,40,London,remote,2,844000,Part-Time,5.0,1
1172,Infosys,Software Development Engineer,m,39,Dubai,remote,1,897000,Full Time,2.6,0
1173,Microsoft,Research Engineer,f,52,London,hybrid,4,61000,Part-Time,4.6,1
1174,Infosys,Software Development Engineer,other,48,Manchester,remote,1,265000,Part-Time,4.3,1
1175,IBM,Back End Developer,f,36,Bombay,onsite,2,248000,Full Time,2.8,0
1176,Amazon,Research Engineer,m,48,Moscow,onsite,3,505000,Part-Time,0.7,0
1177,Apple,Front End Developer,other,36,Moscow,onsite,5,129000,Full Time,2.6,1
1178,Apple,Research Engineer,other,39,Dubai,remote,4,641000,Intern,4.4,1
1179,Cognizant,Software Development Engineer,other,43,Dubai,hybrid,4,94000,Full Time,4.5,1
1180,Amazon,Back End Developer,f,41,Bombay,remote,5,675000,Intern,4.3,1
1181,IBM,Android Developer,other,35,London,hybrid,5,581000,Full Time,4.7,1
1182,Google,Front End Developer,other,36,Sydney,remote,1,958000,Full Time,1.5,1
1183,Uber,Android Developer,f,44,Dubai,onsite,5,957000,Part-Time,2.5,0
1184,Apple,Python Developer,m,45,Manchester,hybrid,4,638000,Part-Time,0.2,1
1185,Microsoft,Front End Developer,m,21,Tokyo,onsite,2,81000,Part-Time,3.5,1
1186,Infosys,IOS Developer,m,34,Manchester,remote,1,469000,Part-Time,2.6,0
1187,Infosys,Software Development Engineer,f,55,Tokyo,hybrid,3,698000,Full Time,1.1,1
1188,Cognizant,Front End Developer,other,53,New York,hybrid,3,714000,Intern,2.9,1
1189,Microsoft,Full Stack Developer,other,51,California,remote,4,492000,Intern,3.7,1
1190,Cognizant,Data Analyst,f,31,Tokyo,onsite,5,486000,Intern,2.1,1
1191,IBM,Test Engineer,other,44,Manchester,onsite,3,543000,Part-Time,1.0,1
1192,Wipro,Front End Developer,m,41,Bombay,hybrid,3,739000,Part-Time,0.1,0
1193,Wipro,Test Engineer,f,49,Manchester,onsite,2,297000,Intern,0.6,0
